RestaurantID,CountryCode,Country,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Average_Cost_for_two,Rating,Datekey_Opening,Average Ratings,Price Range
18435314,1,India,New Delhi,North Indian,No,No,No,No,300,1,2013-09-21,1-1.99,201-400
18378015,1,India,New Delhi,North Indian,No,No,No,No,200,1,2016-09-10,1-1.99,0-200
18424905,1,India,New Delhi,North Indian,No,Yes,No,No,400,1,2018-09-25,1-1.99,201-400
18180072,1,India,New Delhi,North Indian,No,No,No,No,100,1,2018-09-06,1-1.99,0-200
18415377,1,India,New Delhi,North Indian,No,No,No,No,150,1,2013-09-17,1-1.99,0-200
18421485,1,India,New Delhi,North Indian,No,No,No,No,100,1,2018-09-03,1-1.99,0-200
312413,1,India,New Delhi,North Indian,No,No,No,No,200,1,2011-09-16,1-1.99,0-200
303497,1,India,New Delhi,North Indian,No,No,No,No,150,1,2014-09-21,1-1.99,0-200
18354644,1,India,New Delhi,North Indian,No,No,No,No,100,1,2012-09-09,1-1.99,0-200
18366001,1,India,New Delhi,North Indian,No,No,No,No,200,1,2014-09-21,1-1.99,0-200
18486845,1,India,New Delhi,North Indian,No,No,No,No,100,1,2012-09-24,1-1.99,0-200
18424202,1,India,New Delhi,North Indian,No,No,No,No,50,1,2014-09-20,1-1.99,0-200
18472678,1,India,New Delhi,North Indian,No,No,No,No,300,1,2013-08-10,1-1.99,201-400
18209806,1,India,New Delhi,North Indian,No,No,No,No,250,1,2010-08-20,1-1.99,201-400
18286922,1,India,New Delhi,North Indian,No,No,No,No,400,1,2017-08-24,1-1.99,201-400
18458302,1,India,New Delhi,North Indian,No,No,No,No,300,1,2013-08-15,1-1.99,201-400
7362,1,India,New Delhi,North Indian,No,No,No,No,200,1,2010-08-24,1-1.99,0-200
18466400,1,India,New Delhi,North Indian,No,No,No,No,300,1,2015-08-13,1-1.99,201-400
18361779,1,India,New Delhi,North Indian,No,No,No,No,100,1,2011-08-24,1-1.99,0-200
18354672,1,India,New Delhi,North Indian,No,No,No,No,150,1,2017-08-21,1-1.99,0-200
18464641,1,India,New Delhi,North Indian,No,No,No,No,350,1,2012-08-09,1-1.99,201-400
18312665,1,India,New Delhi,North Indian,No,No,No,No,650,1,2010-08-04,1-1.99,601-800
18312572,1,India,New Delhi,North Indian,No,No,No,No,200,1,2017-08-13,1-1.99,0-200
18349241,1,India,New Delhi,North Indian,No,No,No,No,200,1,2016-08-06,1-1.99,0-200
18355121,1,India,New Delhi,North Indian,No,No,No,No,400,1,2013-08-24,1-1.99,201-400
18289272,1,India,New Delhi,North Indian,No,No,No,No,200,1,2014-08-06,1-1.99,0-200
18449949,1,India,New Delhi,North Indian,No,No,No,No,150,1,2010-08-08,1-1.99,0-200
18451571,1,India,New Delhi,North Indian,No,No,No,No,200,1,2016-08-03,1-1.99,0-200
18446496,1,India,New Delhi,North Indian,No,No,No,No,100,1,2018-07-26,1-1.99,0-200
18357972,1,India,New Delhi,North Indian,No,No,No,No,300,1,2011-07-18,1-1.99,201-400
18375383,1,India,New Delhi,North Indian,No,No,No,No,500,1,2018-07-28,1-1.99,401-600
18236975,1,India,New Delhi,North Indian,No,No,No,No,500,1,2017-07-22,1-1.99,401-600
18361767,1,India,New Delhi,North Indian,No,No,No,No,150,1,2011-07-04,1-1.99,0-200
304610,1,India,New Delhi,North Indian,No,No,No,No,300,1,2013-07-13,1-1.99,201-400
18352268,1,India,New Delhi,North Indian,No,No,No,No,500,1,2011-07-13,1-1.99,401-600
18352180,1,India,New Delhi,North Indian,No,No,No,No,200,1,2011-07-03,1-1.99,0-200
18354987,1,India,New Delhi,North Indian,No,No,No,No,350,1,2014-07-20,1-1.99,201-400
18355147,1,India,New Delhi,North Indian,No,No,No,No,100,1,2014-07-02,1-1.99,0-200
18361206,1,India,New Delhi,North Indian,No,No,No,No,100,1,2014-06-16,1-1.99,0-200
18292467,1,India,New Delhi,North Indian,No,No,No,No,200,1,2018-06-23,1-1.99,0-200
18378032,1,India,New Delhi,North Indian,No,No,No,No,500,1,2010-06-20,1-1.99,401-600
18449634,1,India,New Delhi,North Indian,No,No,No,No,400,1,2017-06-15,1-1.99,201-400
18424902,1,India,New Delhi,North Indian,No,No,No,No,100,1,2015-06-05,1-1.99,0-200
18421482,1,India,New Delhi,North Indian,No,No,No,No,200,1,2012-06-10,1-1.99,0-200
18425148,1,India,New Delhi,North Indian,No,No,No,No,200,1,2015-06-18,1-1.99,0-200
18410302,1,India,New Delhi,North Indian,No,No,No,No,500,1,2013-06-15,1-1.99,401-600
8033,1,India,New Delhi,North Indian,No,No,No,No,100,1,2018-06-27,1-1.99,0-200
18440429,1,India,New Delhi,North Indian,No,No,No,No,300,1,2018-06-25,1-1.99,201-400
18489545,1,India,New Delhi,North Indian,No,No,No,No,200,1,2012-06-16,1-1.99,0-200
18489852,1,India,New Delhi,North Indian,No,No,No,No,200,1,2017-06-08,1-1.99,0-200
18449786,1,India,New Delhi,North Indian,No,No,No,No,100,1,2017-06-01,1-1.99,0-200
18361771,1,India,New Delhi,North Indian,No,No,No,No,300,1,2018-06-10,1-1.99,201-400
18449667,1,India,New Delhi,North Indian,No,No,No,No,200,1,2015-06-19,1-1.99,0-200
18017260,1,India,New Delhi,North Indian,No,No,No,No,300,1,2011-06-16,1-1.99,201-400
18432628,1,India,New Delhi,North Indian,No,No,No,No,500,1,2012-06-12,1-1.99,401-600
18466429,1,India,New Delhi,North Indian,No,No,No,No,100,1,2014-06-27,1-1.99,0-200
18312463,1,India,New Delhi,North Indian,No,No,No,No,350,1,2012-06-13,1-1.99,201-400
18306540,1,India,New Delhi,North Indian,No,No,No,No,350,1,2017-06-28,1-1.99,201-400
18355145,1,India,New Delhi,North Indian,No,No,No,No,150,1,2010-06-15,1-1.99,0-200
18357948,1,India,New Delhi,North Indian,No,No,No,No,300,1,2015-06-04,1-1.99,201-400
18455547,1,India,New Delhi,North Indian,No,No,No,No,200,1,2015-06-02,1-1.99,0-200
305567,1,India,New Delhi,North Indian,No,No,No,No,150,1,2018-06-12,1-1.99,0-200
18445361,1,India,New Delhi,North Indian,No,No,No,No,400,1,2014-06-27,1-1.99,201-400
18472628,1,India,New Delhi,North Indian,No,No,No,No,350,1,2016-05-22,1-1.99,201-400
18454468,1,India,New Delhi,North Indian,No,No,No,No,400,1,2011-05-22,1-1.99,201-400
18416845,1,India,New Delhi,North Indian,No,No,No,No,350,1,2012-05-27,1-1.99,201-400
18414467,1,India,New Delhi,North Indian,No,No,No,No,100,1,2011-05-07,1-1.99,0-200
18460302,1,India,New Delhi,North Indian,No,No,No,No,300,1,2018-05-03,1-1.99,201-400
18396955,1,India,New Delhi,North Indian,No,No,No,No,300,1,2010-05-16,1-1.99,201-400
18470757,1,India,New Delhi,North Indian,No,No,No,No,350,1,2018-05-22,1-1.99,201-400
18355143,1,India,New Delhi,North Indian,No,No,No,No,100,1,2015-05-28,1-1.99,0-200
18489535,1,India,New Delhi,North Indian,No,No,No,No,400,1,2014-05-10,1-1.99,201-400
18424638,1,India,New Delhi,North Indian,No,No,No,No,150,1,2018-05-12,1-1.99,0-200
18424656,1,India,New Delhi,North Indian,No,No,No,No,200,1,2011-05-02,1-1.99,0-200
18396171,1,India,New Delhi,North Indian,No,No,No,No,400,1,2011-04-11,1-1.99,201-400
18352684,1,India,New Delhi,North Indian,No,No,No,No,50,1,2012-04-28,1-1.99,0-200
18441696,1,India,New Delhi,North Indian,Yes,No,No,No,500,1,2011-04-23,1-1.99,401-600
312000,1,India,New Delhi,North Indian,No,No,No,No,300,1,2014-04-25,1-1.99,201-400
18377904,1,India,New Delhi,North Indian,No,No,No,No,200,1,2016-04-25,1-1.99,0-200
18264993,1,India,New Delhi,North Indian,No,Yes,No,No,400,1,2013-04-19,1-1.99,201-400
18358663,1,India,New Delhi,North Indian,No,No,No,No,150,1,2018-04-04,1-1.99,0-200
18489836,1,India,New Delhi,North Indian,No,No,No,No,250,1,2011-04-27,1-1.99,201-400
18466408,1,India,New Delhi,North Indian,No,No,No,No,400,1,2014-04-16,1-1.99,201-400
18449657,1,India,New Delhi,North Indian,No,No,No,No,500,1,2013-04-06,1-1.99,401-600
18449661,1,India,New Delhi,North Indian,No,No,No,No,100,1,2011-04-18,1-1.99,0-200
18354998,1,India,New Delhi,North Indian,No,No,No,No,100,1,2016-04-01,1-1.99,0-200
18423905,1,India,New Delhi,North Indian,No,No,No,No,200,1,2014-04-10,1-1.99,0-200
18432200,1,India,New Delhi,North Indian,Yes,No,No,No,700,1,2013-04-20,1-1.99,601-800
306710,1,India,New Delhi,North Indian,No,No,No,No,100,1,2011-04-04,1-1.99,0-200
18478963,1,India,New Delhi,North Indian,No,No,No,No,200,1,2018-04-13,1-1.99,0-200
17989108,1,India,New Delhi,North Indian,No,No,No,No,150,1,2011-04-07,1-1.99,0-200
6249,1,India,New Delhi,North Indian,No,No,No,No,150,1,2016-04-21,1-1.99,0-200
18273597,1,India,New Delhi,North Indian,No,No,No,No,450,1,2015-04-04,1-1.99,401-600
18455549,1,India,New Delhi,North Indian,No,No,No,No,300,1,2011-04-22,1-1.99,201-400
18423889,1,India,New Delhi,North Indian,No,No,No,No,100,1,2017-04-11,1-1.99,0-200
18424650,1,India,New Delhi,North Indian,No,No,No,No,500,1,2011-04-17,1-1.99,401-600
18489513,1,India,New Delhi,North Indian,No,No,No,No,400,1,2018-03-22,1-1.99,201-400
18378037,1,India,New Delhi,North Indian,No,No,No,No,400,1,2013-03-13,1-1.99,201-400
18124389,1,India,New Delhi,North Indian,No,No,No,No,100,1,2017-03-23,1-1.99,0-200
18451575,1,India,New Delhi,North Indian,No,No,No,No,400,1,2014-03-03,1-1.99,201-400
18292453,1,India,New Delhi,North Indian,No,No,No,No,200,1,2010-03-24,1-1.99,0-200
308110,1,India,New Delhi,North Indian,No,No,No,No,400,1,2014-03-24,1-1.99,201-400
18466675,1,India,New Delhi,North Indian,No,No,No,No,200,1,2013-03-25,1-1.99,0-200
18361217,1,India,New Delhi,North Indian,No,No,No,No,250,1,2012-03-11,1-1.99,201-400
9271,1,India,New Delhi,North Indian,No,No,No,No,50,1,2010-03-04,1-1.99,0-200
18360900,1,India,New Delhi,North Indian,No,No,No,No,300,1,2014-03-04,1-1.99,201-400
18492960,1,India,New Delhi,North Indian,No,No,No,No,200,1,2018-03-28,1-1.99,0-200
18390309,1,India,New Delhi,North Indian,No,No,No,No,150,1,2017-03-08,1-1.99,0-200
18377898,1,India,New Delhi,North Indian,No,No,No,No,200,1,2014-03-14,1-1.99,0-200
18375413,1,India,New Delhi,North Indian,No,No,No,No,650,1,2016-02-24,1-1.99,601-800
302871,1,India,New Delhi,North Indian,No,No,No,No,400,1,2010-02-16,1-1.99,201-400
6678,1,India,New Delhi,North Indian,No,No,No,No,150,1,2010-02-11,1-1.99,0-200
18292472,1,India,New Delhi,North Indian,No,No,No,No,400,1,2013-02-15,1-1.99,201-400
18362795,1,India,New Delhi,North Indian,No,No,No,No,200,1,2010-02-11,1-1.99,0-200
